Test NFA, number of states = 16 propogating length = 32
experiment No = 160, UNSAT, testing length = 32
experiment No = 161, UNSAT, testing length = 32
experiment No = 162, UNSAT, testing length = 32
experiment No = 163, UNSAT, testing length = 32
experiment No = 164, UNSAT, testing length = 32
experiment No = 165, UNSAT, testing length = 32
experiment No = 166, UNSAT, testing length = 32
experiment No = 167, UNSAT, testing length = 32
experiment No = 168, UNSAT, testing length = 32
experiment No = 169, UNSAT, testing length = 32
experiment No = 170, UNSAT, testing length = 32
experiment No = 171, UNSAT, testing length = 32
experiment No = 172, UNSAT, testing length = 32
experiment No = 173, UNSAT, testing length = 32
experiment No = 174, UNSAT, testing length = 32
experiment No = 175, UNSAT, testing length = 32
experiment No = 176, UNSAT, testing length = 32
experiment No = 177, UNSAT, testing length = 32
experiment No = 178, UNSAT, testing length = 32
experiment No = 179, UNSAT, testing length = 32
experiment No = 180, UNSAT, testing length = 32
experiment No = 181, UNSAT, testing length = 32
experiment No = 182, UNSAT, testing length = 32
experiment No = 183, UNSAT, testing length = 32
experiment No = 184, UNSAT, testing length = 32
experiment No = 185, UNSAT, testing length = 32
experiment No = 186, UNSAT, testing length = 32
experiment No = 187, UNSAT, testing length = 32
experiment No = 188, UNSAT, testing length = 32
experiment No = 189, UNSAT, testing length = 32
experiment No = 190, UNSAT, testing length = 32
experiment No = 191, UNSAT, testing length = 32
experiment No = 192, UNSAT, testing length = 32
experiment No = 193, UNSAT, testing length = 32
experiment No = 194, UNSAT, testing length = 32
experiment No = 195, UNSAT, testing length = 32
experiment No = 196, UNSAT, testing length = 32
experiment No = 197, UNSAT, testing length = 32
experiment No = 198, UNSAT, testing length = 32
experiment No = 199, UNSAT, testing length = 32
experiment No = 200, UNSAT, testing length = 32
experiment No = 201, UNSAT, testing length = 32
experiment No = 202, UNSAT, testing length = 32
experiment No = 203, UNSAT, testing length = 32
experiment No = 204, UNSAT, testing length = 32
experiment No = 205, UNSAT, testing length = 32
experiment No = 206, UNSAT, testing length = 32
experiment No = 207, UNSAT, testing length = 32
experiment No = 208, UNSAT, testing length = 32
experiment No = 209, UNSAT, testing length = 32
experiment No = 210, UNSAT, testing length = 32
experiment No = 211, UNSAT, testing length = 32
experiment No = 212, UNSAT, testing length = 32
experiment No = 213, UNSAT, testing length = 32
experiment No = 214, UNSAT, testing length = 32
experiment No = 215, UNSAT, testing length = 32
experiment No = 216, UNSAT, testing length = 32
experiment No = 217, UNSAT, testing length = 32
experiment No = 218, UNSAT, testing length = 32
experiment No = 219, UNSAT, testing length = 32
experiment No = 220, UNSAT, testing length = 32
experiment No = 221, UNSAT, testing length = 32
experiment No = 222, UNSAT, testing length = 32
experiment No = 223, UNSAT, testing length = 32
experiment No = 224, UNSAT, testing length = 32
experiment No = 225, UNSAT, testing length = 32
experiment No = 226, UNSAT, testing length = 32
experiment No = 227, UNSAT, testing length = 32
experiment No = 228, UNSAT, testing length = 32
experiment No = 229, UNSAT, testing length = 32
experiment No = 230, UNSAT, testing length = 32
experiment No = 231, UNSAT, testing length = 32
experiment No = 232, UNSAT, testing length = 32
experiment No = 233, UNSAT, testing length = 32
experiment No = 234, UNSAT, testing length = 32
experiment No = 235, UNSAT, testing length = 32
experiment No = 236, UNSAT, testing length = 32
experiment No = 237, UNSAT, testing length = 32
experiment No = 238, UNSAT, testing length = 32
experiment No = 239, UNSAT, testing length = 32
experiment No = 240, UNSAT, testing length = 32
experiment No = 241, UNSAT, testing length = 32
experiment No = 242, UNSAT, testing length = 32
experiment No = 243, UNSAT, testing length = 32
experiment No = 244, UNSAT, testing length = 32
experiment No = 245, UNSAT, testing length = 32
experiment No = 246, UNSAT, testing length = 32
experiment No = 247, UNSAT, testing length = 32
experiment No = 248, UNSAT, testing length = 32
experiment No = 249, UNSAT, testing length = 32
experiment No = 250, UNSAT, testing length = 32
experiment No = 251, UNSAT, testing length = 32
experiment No = 252, UNSAT, testing length = 32
experiment No = 253, UNSAT, testing length = 32
experiment No = 254, UNSAT, testing length = 32
experiment No = 255, UNSAT, testing length = 32
experiment No = 256, UNSAT, testing length = 32
experiment No = 257, UNSAT, testing length = 32
experiment No = 258, UNSAT, testing length = 32
experiment No = 259, UNSAT, testing length = 32
experiment No = 260, UNSAT, testing length = 32
experiment No = 261, UNSAT, testing length = 32
experiment No = 262, UNSAT, testing length = 32
experiment No = 263, UNSAT, testing length = 32
experiment No = 264, UNSAT, testing length = 32
experiment No = 265, UNSAT, testing length = 32
experiment No = 266, UNSAT, testing length = 32
experiment No = 267, UNSAT, testing length = 32
experiment No = 268, UNSAT, testing length = 32
experiment No = 269, UNSAT, testing length = 32
experiment No = 270, UNSAT, testing length = 32
experiment No = 271, UNSAT, testing length = 32
experiment No = 272, UNSAT, testing length = 32
experiment No = 273, UNSAT, testing length = 32
experiment No = 274, UNSAT, testing length = 32
experiment No = 275, UNSAT, testing length = 32
experiment No = 276, UNSAT, testing length = 32
experiment No = 277, UNSAT, testing length = 32
experiment No = 278, UNSAT, testing length = 32
experiment No = 279, UNSAT, testing length = 32
experiment No = 280, UNSAT, testing length = 32
experiment No = 281, UNSAT, testing length = 32
experiment No = 282, UNSAT, testing length = 32
experiment No = 283, UNSAT, testing length = 32
experiment No = 284, UNSAT, testing length = 32
experiment No = 285, UNSAT, testing length = 32
experiment No = 286, UNSAT, testing length = 32
experiment No = 287, UNSAT, testing length = 32
experiment No = 288, UNSAT, testing length = 32
experiment No = 289, UNSAT, testing length = 32
experiment No = 290, UNSAT, testing length = 32
experiment No = 291, UNSAT, testing length = 32
experiment No = 292, UNSAT, testing length = 32
experiment No = 293, UNSAT, testing length = 32
experiment No = 294, UNSAT, testing length = 32
experiment No = 295, UNSAT, testing length = 32
experiment No = 296, UNSAT, testing length = 32
experiment No = 297, UNSAT, testing length = 32
experiment No = 298, UNSAT, testing length = 32
experiment No = 299, UNSAT, testing length = 32
experiment No = 300, UNSAT, testing length = 32
experiment No = 301, UNSAT, testing length = 32
experiment No = 302, UNSAT, testing length = 32
experiment No = 303, UNSAT, testing length = 32
experiment No = 304, UNSAT, testing length = 32
experiment No = 305, UNSAT, testing length = 32
experiment No = 306, UNSAT, testing length = 32
experiment No = 307, UNSAT, testing length = 32
experiment No = 308, UNSAT, testing length = 32
experiment No = 309, UNSAT, testing length = 32
experiment No = 310, UNSAT, testing length = 32
experiment No = 311, UNSAT, testing length = 32
experiment No = 312, UNSAT, testing length = 32
experiment No = 313, UNSAT, testing length = 32
experiment No = 314, UNSAT, testing length = 32
experiment No = 315, UNSAT, testing length = 32
experiment No = 316, UNSAT, testing length = 32
experiment No = 317, UNSAT, testing length = 32
experiment No = 318, UNSAT, testing length = 32
experiment No = 319, UNSAT, testing length = 32
experiment No = 320, UNSAT, testing length = 32
experiment No = 321, UNSAT, testing length = 32
experiment No = 322, UNSAT, testing length = 32
experiment No = 323, UNSAT, testing length = 32
experiment No = 324, UNSAT, testing length = 32
experiment No = 325, UNSAT, testing length = 32
experiment No = 326, UNSAT, testing length = 32
experiment No = 327, UNSAT, testing length = 32
experiment No = 328, UNSAT, testing length = 32
experiment No = 329, UNSAT, testing length = 32
experiment No = 330, UNSAT, testing length = 32
experiment No = 331, UNSAT, testing length = 32
experiment No = 332, UNSAT, testing length = 32
experiment No = 333, UNSAT, testing length = 32
experiment No = 334, UNSAT, testing length = 32
experiment No = 335, UNSAT, testing length = 32
experiment No = 336, UNSAT, testing length = 32
experiment No = 337, UNSAT, testing length = 32
experiment No = 338, UNSAT, testing length = 32
experiment No = 339, UNSAT, testing length = 32
experiment No = 340, UNSAT, testing length = 32
experiment No = 341, UNSAT, testing length = 32
experiment No = 342, UNSAT, testing length = 32
experiment No = 343, UNSAT, testing length = 32
experiment No = 344, UNSAT, testing length = 32
experiment No = 345, UNSAT, testing length = 32
experiment No = 346, UNSAT, testing length = 32
experiment No = 347, UNSAT, testing length = 32
experiment No = 348, UNSAT, testing length = 32
experiment No = 349, UNSAT, testing length = 32
experiment No = 350, UNSAT, testing length = 32
experiment No = 351, UNSAT, testing length = 32
experiment No = 352, UNSAT, testing length = 32
experiment No = 353, UNSAT, testing length = 32
experiment No = 354, UNSAT, testing length = 32
experiment No = 355, UNSAT, testing length = 32
experiment No = 356, UNSAT, testing length = 32
experiment No = 357, UNSAT, testing length = 32
experiment No = 358, UNSAT, testing length = 32
experiment No = 359, UNSAT, testing length = 32
experiment No = 360, UNSAT, testing length = 32
experiment No = 361, UNSAT, testing length = 32
experiment No = 362, UNSAT, testing length = 32
experiment No = 363, UNSAT, testing length = 32
experiment No = 364, UNSAT, testing length = 32
experiment No = 365, UNSAT, testing length = 32
experiment No = 366, UNSAT, testing length = 32
experiment No = 367, UNSAT, testing length = 32
experiment No = 368, UNSAT, testing length = 32
experiment No = 369, UNSAT, testing length = 32
experiment No = 370, UNSAT, testing length = 32
experiment No = 371, UNSAT, testing length = 32
experiment No = 372, UNSAT, testing length = 32
experiment No = 373, UNSAT, testing length = 32
experiment No = 374, UNSAT, testing length = 32
experiment No = 375, UNSAT, testing length = 32
experiment No = 376, UNSAT, testing length = 32
experiment No = 377, UNSAT, testing length = 32
experiment No = 378, UNSAT, testing length = 32
experiment No = 379, UNSAT, testing length = 32
experiment No = 380, UNSAT, testing length = 32
experiment No = 381, UNSAT, testing length = 32
experiment No = 382, UNSAT, testing length = 32
experiment No = 383, UNSAT, testing length = 32
experiment No = 384, UNSAT, testing length = 32
experiment No = 385, UNSAT, testing length = 32
experiment No = 386, UNSAT, testing length = 32
experiment No = 387, UNSAT, testing length = 32
experiment No = 388, UNSAT, testing length = 32
experiment No = 389, UNSAT, testing length = 32
experiment No = 390, UNSAT, testing length = 32
experiment No = 391, UNSAT, testing length = 32
experiment No = 392, UNSAT, testing length = 32
experiment No = 393, UNSAT, testing length = 32
experiment No = 394, UNSAT, testing length = 32
experiment No = 395, UNSAT, testing length = 32
experiment No = 396, UNSAT, testing length = 32
experiment No = 397, UNSAT, testing length = 32
experiment No = 398, UNSAT, testing length = 32
experiment No = 399, UNSAT, testing length = 32
experiment No = 400, UNSAT, testing length = 32
experiment No = 401, UNSAT, testing length = 32
experiment No = 402, UNSAT, testing length = 32
experiment No = 403, UNSAT, testing length = 32
experiment No = 404, UNSAT, testing length = 32
experiment No = 405, UNSAT, testing length = 32
experiment No = 406, UNSAT, testing length = 32
experiment No = 407, UNSAT, testing length = 32
experiment No = 408, UNSAT, testing length = 32
experiment No = 409, UNSAT, testing length = 32
experiment No = 410, UNSAT, testing length = 32
experiment No = 411, UNSAT, testing length = 32
experiment No = 412, UNSAT, testing length = 32
experiment No = 413, UNSAT, testing length = 32
experiment No = 414, UNSAT, testing length = 32
experiment No = 415, UNSAT, testing length = 32
experiment No = 416, UNSAT, testing length = 32
experiment No = 417, UNSAT, testing length = 32
experiment No = 418, UNSAT, testing length = 32
experiment No = 419, UNSAT, testing length = 32
experiment No = 420, UNSAT, testing length = 32
experiment No = 421, UNSAT, testing length = 32
experiment No = 422, UNSAT, testing length = 32
experiment No = 423, UNSAT, testing length = 32
experiment No = 424, UNSAT, testing length = 32
experiment No = 425, UNSAT, testing length = 32
experiment No = 426, UNSAT, testing length = 32
experiment No = 427, UNSAT, testing length = 32
experiment No = 428, UNSAT, testing length = 32
experiment No = 429, UNSAT, testing length = 32
experiment No = 430, UNSAT, testing length = 32
experiment No = 431, UNSAT, testing length = 32
experiment No = 432, UNSAT, testing length = 32
experiment No = 433, UNSAT, testing length = 32
experiment No = 434, UNSAT, testing length = 32
experiment No = 435, UNSAT, testing length = 32
experiment No = 436, UNSAT, testing length = 32
experiment No = 437, UNSAT, testing length = 32
experiment No = 438, UNSAT, testing length = 32
experiment No = 439, UNSAT, testing length = 32
experiment No = 440, UNSAT, testing length = 32
experiment No = 441, UNSAT, testing length = 32
experiment No = 442, UNSAT, testing length = 32
experiment No = 443, UNSAT, testing length = 32
experiment No = 444, UNSAT, testing length = 32
experiment No = 445, UNSAT, testing length = 32
experiment No = 446, UNSAT, testing length = 32
experiment No = 447, UNSAT, testing length = 32
experiment No = 448, UNSAT, testing length = 32
experiment No = 449, UNSAT, testing length = 32
experiment No = 450, UNSAT, testing length = 32
experiment No = 451, UNSAT, testing length = 32
experiment No = 452, UNSAT, testing length = 32
experiment No = 453, UNSAT, testing length = 32
experiment No = 454, UNSAT, testing length = 32
experiment No = 455, UNSAT, testing length = 32
experiment No = 456, UNSAT, testing length = 32
experiment No = 457, UNSAT, testing length = 32
experiment No = 458, UNSAT, testing length = 32
experiment No = 459, UNSAT, testing length = 32
experiment No = 460, UNSAT, testing length = 32
experiment No = 461, UNSAT, testing length = 32
experiment No = 462, UNSAT, testing length = 32
experiment No = 463, UNSAT, testing length = 32
experiment No = 464, UNSAT, testing length = 32
experiment No = 465, UNSAT, testing length = 32
experiment No = 466, UNSAT, testing length = 32
experiment No = 467, UNSAT, testing length = 32
experiment No = 468, UNSAT, testing length = 32
experiment No = 469, UNSAT, testing length = 32
experiment No = 470, UNSAT, testing length = 32
experiment No = 471, UNSAT, testing length = 32
experiment No = 472, UNSAT, testing length = 32
experiment No = 473, UNSAT, testing length = 32
experiment No = 474, UNSAT, testing length = 32
experiment No = 475, UNSAT, testing length = 32
experiment No = 476, UNSAT, testing length = 32
experiment No = 477, UNSAT, testing length = 32
experiment No = 478, UNSAT, testing length = 32
experiment No = 479, UNSAT, testing length = 32
experiment No = 480, UNSAT, testing length = 32
experiment No = 481, UNSAT, testing length = 32
experiment No = 482, UNSAT, testing length = 32
experiment No = 483, UNSAT, testing length = 32
experiment No = 484, UNSAT, testing length = 32
experiment No = 485, UNSAT, testing length = 32
experiment No = 486, UNSAT, testing length = 32
experiment No = 487, UNSAT, testing length = 32
experiment No = 488, UNSAT, testing length = 32
experiment No = 489, UNSAT, testing length = 32
experiment No = 490, UNSAT, testing length = 32
experiment No = 491, UNSAT, testing length = 32
experiment No = 492, UNSAT, testing length = 32
experiment No = 493, UNSAT, testing length = 32
experiment No = 494, UNSAT, testing length = 32
experiment No = 495, UNSAT, testing length = 32
experiment No = 496, UNSAT, testing length = 32
experiment No = 497, UNSAT, testing length = 32
experiment No = 498, UNSAT, testing length = 32
experiment No = 499, UNSAT, testing length = 32
experiment No = 500, UNSAT, testing length = 32
experiment No = 501, UNSAT, testing length = 32
experiment No = 502, UNSAT, testing length = 32
experiment No = 503, UNSAT, testing length = 32
experiment No = 504, UNSAT, testing length = 32
experiment No = 505, UNSAT, testing length = 32
experiment No = 506, UNSAT, testing length = 32
experiment No = 507, UNSAT, testing length = 32
experiment No = 508, UNSAT, testing length = 32
experiment No = 509, UNSAT, testing length = 32
experiment No = 510, UNSAT, testing length = 32
experiment No = 511, UNSAT, testing length = 32
experiment No = 512, UNSAT, testing length = 32
experiment No = 513, UNSAT, testing length = 32
experiment No = 514, UNSAT, testing length = 32
experiment No = 515, UNSAT, testing length = 32
experiment No = 516, UNSAT, testing length = 32
experiment No = 517, UNSAT, testing length = 32
experiment No = 518, UNSAT, testing length = 32
experiment No = 519, UNSAT, testing length = 32
experiment No = 520, UNSAT, testing length = 32
experiment No = 521, UNSAT, testing length = 32
experiment No = 522, UNSAT, testing length = 32
experiment No = 523, UNSAT, testing length = 32
experiment No = 524, UNSAT, testing length = 32
experiment No = 525, UNSAT, testing length = 32
experiment No = 526, UNSAT, testing length = 32
experiment No = 527, UNSAT, testing length = 32
experiment No = 528, UNSAT, testing length = 32
experiment No = 529, UNSAT, testing length = 32
experiment No = 530, UNSAT, testing length = 32
experiment No = 531, UNSAT, testing length = 32
experiment No = 532, UNSAT, testing length = 32
experiment No = 533, UNSAT, testing length = 32
experiment No = 534, UNSAT, testing length = 32
experiment No = 535, UNSAT, testing length = 32
experiment No = 536, UNSAT, testing length = 32
experiment No = 537, UNSAT, testing length = 32
experiment No = 538, UNSAT, testing length = 32
experiment No = 539, UNSAT, testing length = 32
experiment No = 540, UNSAT, testing length = 32
experiment No = 541, UNSAT, testing length = 32
experiment No = 542, UNSAT, testing length = 32
experiment No = 543, UNSAT, testing length = 32
experiment No = 544, UNSAT, testing length = 32
experiment No = 545, UNSAT, testing length = 32
experiment No = 546, UNSAT, testing length = 32
experiment No = 547, UNSAT, testing length = 32
experiment No = 548, UNSAT, testing length = 32
experiment No = 549, UNSAT, testing length = 32
experiment No = 550, UNSAT, testing length = 32
experiment No = 551, UNSAT, testing length = 32
experiment No = 552, UNSAT, testing length = 32
experiment No = 553, UNSAT, testing length = 32
experiment No = 554, UNSAT, testing length = 32
experiment No = 555, UNSAT, testing length = 32
experiment No = 556, UNSAT, testing length = 32
experiment No = 557, UNSAT, testing length = 32
experiment No = 558, UNSAT, testing length = 32
experiment No = 559, UNSAT, testing length = 32
experiment No = 560, UNSAT, testing length = 32
experiment No = 561, UNSAT, testing length = 32
experiment No = 562, UNSAT, testing length = 32
experiment No = 563, UNSAT, testing length = 32
experiment No = 564, UNSAT, testing length = 32
experiment No = 565, UNSAT, testing length = 32
experiment No = 566, UNSAT, testing length = 32
experiment No = 567, UNSAT, testing length = 32
experiment No = 568, UNSAT, testing length = 32
experiment No = 569, UNSAT, testing length = 32
experiment No = 570, UNSAT, testing length = 32
experiment No = 571, UNSAT, testing length = 32
experiment No = 572, UNSAT, testing length = 32
experiment No = 573, UNSAT, testing length = 32
experiment No = 574, UNSAT, testing length = 32
experiment No = 575, UNSAT, testing length = 32
experiment No = 576, UNSAT, testing length = 32
experiment No = 577, UNSAT, testing length = 32
experiment No = 578, UNSAT, testing length = 32
experiment No = 579, UNSAT, testing length = 32
experiment No = 580, UNSAT, testing length = 32
experiment No = 581, UNSAT, testing length = 32
experiment No = 582, UNSAT, testing length = 32
experiment No = 583, UNSAT, testing length = 32
experiment No = 584, UNSAT, testing length = 32
experiment No = 585, UNSAT, testing length = 32
experiment No = 586, UNSAT, testing length = 32
experiment No = 587, UNSAT, testing length = 32
experiment No = 588, UNSAT, testing length = 32
experiment No = 589, UNSAT, testing length = 32
experiment No = 590, UNSAT, testing length = 32
experiment No = 591, UNSAT, testing length = 32
experiment No = 592, UNSAT, testing length = 32
experiment No = 593, UNSAT, testing length = 32
experiment No = 594, UNSAT, testing length = 32
experiment No = 595, UNSAT, testing length = 32
experiment No = 596, UNSAT, testing length = 32
experiment No = 597, UNSAT, testing length = 32
experiment No = 598, UNSAT, testing length = 32
experiment No = 599, UNSAT, testing length = 32
experiment No = 600, UNSAT, testing length = 32
experiment No = 601, UNSAT, testing length = 32
experiment No = 602, UNSAT, testing length = 32
experiment No = 603, UNSAT, testing length = 32
experiment No = 604, UNSAT, testing length = 32
experiment No = 605, UNSAT, testing length = 32
experiment No = 606, UNSAT, testing length = 32
experiment No = 607, UNSAT, testing length = 32
experiment No = 608, UNSAT, testing length = 32
experiment No = 609, UNSAT, testing length = 32
experiment No = 610, UNSAT, testing length = 32
experiment No = 611, UNSAT, testing length = 32
experiment No = 612, UNSAT, testing length = 32
experiment No = 613, UNSAT, testing length = 32
experiment No = 614, UNSAT, testing length = 32
experiment No = 615, UNSAT, testing length = 32
experiment No = 616, UNSAT, testing length = 32
experiment No = 617, UNSAT, testing length = 32
experiment No = 618, UNSAT, testing length = 32
experiment No = 619, UNSAT, testing length = 32
experiment No = 620, UNSAT, testing length = 32
experiment No = 621, UNSAT, testing length = 32
experiment No = 622, UNSAT, testing length = 32
experiment No = 623, UNSAT, testing length = 32
experiment No = 624, UNSAT, testing length = 32
experiment No = 625, UNSAT, testing length = 32
experiment No = 626, UNSAT, testing length = 32
experiment No = 627, UNSAT, testing length = 32
experiment No = 628, UNSAT, testing length = 32
experiment No = 629, UNSAT, testing length = 32
experiment No = 630, UNSAT, testing length = 32
experiment No = 631, UNSAT, testing length = 32
experiment No = 632, UNSAT, testing length = 32
experiment No = 633, UNSAT, testing length = 32
experiment No = 634, UNSAT, testing length = 32
experiment No = 635, UNSAT, testing length = 32
experiment No = 636, UNSAT, testing length = 32
experiment No = 637, UNSAT, testing length = 32
experiment No = 638, UNSAT, testing length = 32
experiment No = 639, UNSAT, testing length = 32
experiment No = 640, UNSAT, testing length = 32
experiment No = 641, UNSAT, testing length = 32
experiment No = 642, UNSAT, testing length = 32
experiment No = 643, UNSAT, testing length = 32
experiment No = 644, UNSAT, testing length = 32
experiment No = 645, UNSAT, testing length = 32
experiment No = 646, UNSAT, testing length = 32
experiment No = 647, UNSAT, testing length = 32
experiment No = 648, UNSAT, testing length = 32
experiment No = 649, UNSAT, testing length = 32
experiment No = 650, UNSAT, testing length = 32
experiment No = 651, UNSAT, testing length = 32
experiment No = 652, UNSAT, testing length = 32
experiment No = 653, UNSAT, testing length = 32
experiment No = 654, UNSAT, testing length = 32
experiment No = 655, UNSAT, testing length = 32
experiment No = 656, UNSAT, testing length = 32
experiment No = 657, UNSAT, testing length = 32
experiment No = 658, UNSAT, testing length = 32
experiment No = 659, UNSAT, testing length = 32
experiment No = 660, UNSAT, testing length = 32
experiment No = 661, UNSAT, testing length = 32
experiment No = 662, UNSAT, testing length = 32
experiment No = 663, UNSAT, testing length = 32
experiment No = 664, UNSAT, testing length = 32
